question_id,video_id,question,answer
Gi__cddQCNU_04,Gi__cddQCNU,What is the job of the main character ?,He is selling coffee machines
gNVqRC4mcSI_13,gNVqRC4mcSI,Does the soundtrack change the mood of any specific scene?,"It makes for a tense and thrilling atmosphere in the final scene, when the creature escapes the box. "
BZRjPpM5lRU_03,BZRjPpM5lRU,What is the relationship between the characters?,They are a couple.
ht_FBtYKAcM_03,ht_FBtYKAcM,What is the initial plot of the story?,It's the evening of Vince's birthday but he's worried because he thinks his wife is having an affair at work.
gNVqRC4mcSI_01,gNVqRC4mcSI,Where does the movie take place?,"In a dark box filled with odd, humanoid creatures. "
Gi__cddQCNU_15,Gi__cddQCNU,"What is the tone of Pete's conversation with Bill, on the phone?",It's tense and uneasy.
0PKtGVJEpdg_03,0PKtGVJEpdg,Where does the movie take place?,In a city.
zQe0iH_dz1E_08,zQe0iH_dz1E,How do the kids react to the man's behavior?,They are shocked and they don't want to play anymore.
owo8yfdEEO0_03,owo8yfdEEO0,What major event changes the protagonist's situation?,The suicide of his father.
gNVqRC4mcSI_07,gNVqRC4mcSI,What important even happens in the middle section of the movie?,The creature begins to grow legs.
PULMjny-Pf8_08,PULMjny-Pf8,Who warns the protagonist at the beginning of the movie?,A homeless man.
ht_FBtYKAcM_17,ht_FBtYKAcM,What is the genre of the movie?,A dramatic thriller
LQALKPDhXx8_05,LQALKPDhXx8,What happens to the face and arms of the protoganist while he is driving?,Long hair starts growing on his arms and face
CmQneYZvTlM_06,CmQneYZvTlM,Who are God's sons in the movie?,Jesus and Satan.
1n8Nz99mYPY_04,1n8Nz99mYPY,What does the protagonist look like in his identity?,He looks handsome and career-minded.
QIWcjZE-vSM_04,QIWcjZE-vSM,How much does one throw cost?,It costs one pound.
gCOBaDBnTAY_06,gCOBaDBnTAY,What happens to the main character in the park?,She has another auditory hallucination and starts dancing
PULMjny-Pf8_03,PULMjny-Pf8,What's written on the neon sign at the beginning of the movie?,"""Toilet""."
VXI0Gn0Pwck_02,VXI0Gn0Pwck,How is the team coach?,He is tough.
fSW3a0zb0rQ_01,fSW3a0zb0rQ,Why does Lily come to the protoganist?,The protoganist requested a call girl for the evening
X66nawgM_G0_20,X66nawgM_G0,What is the emotion of the woman in the final scene?,She is happy.
zQe0iH_dz1E_01,zQe0iH_dz1E,Who is the main character?,A middle-age redhead man who was in the military before.
LQALKPDhXx8_03,LQALKPDhXx8,What happens inside the elevator?,The protoganist kisses his colleague
Gi__cddQCNU_25,Gi__cddQCNU,Where does Pete normally live?,"In Berlin, Germany. "
X66nawgM_G0_09,X66nawgM_G0,Where is the first part they retrieve?,The man's painting studio.
5qCZqW35Hxc_03,5qCZqW35Hxc,what is the game they imitating in the bed ?,The game consist in imitating a plane
