question_id,prediction
Gi__cddQCNU_04,He is selling coffee machines
gNVqRC4mcSI_13,"It makes for a tense and thrilling atmosphere in the final scene, when the creature escapes the box. "
BZRjPpM5lRU_03,They are a couple.
ht_FBtYKAcM_03,It's the evening of Vince's birthday but he's worried because he thinks his wife is having an affair at work.
gNVqRC4mcSI_01,"In a dark box filled with odd, humanoid creatures. "
Gi__cddQCNU_15,It's tense and uneasy.
0PKtGVJEpdg_03,In a city.
zQe0iH_dz1E_08,They are shocked and they don't want to play anymore.
owo8yfdEEO0_03,The suicide of his father.
gNVqRC4mcSI_07,The creature begins to grow legs.
PULMjny-Pf8_08,A homeless man.
ht_FBtYKAcM_17,A dramatic thriller
LQALKPDhXx8_05,Long hair starts growing on his arms and face
CmQneYZvTlM_06,Jesus and Satan.
1n8Nz99mYPY_04,He looks handsome and career-minded.
QIWcjZE-vSM_04,It costs one pound.
gCOBaDBnTAY_06,She has another auditory hallucination and starts dancing
PULMjny-Pf8_03,"""Toilet""."
VXI0Gn0Pwck_02,He is tough.
fSW3a0zb0rQ_01,The protoganist requested a call girl for the evening
X66nawgM_G0_20,She is happy.
zQe0iH_dz1E_01,A middle-age redhead man who was in the military before.
LQALKPDhXx8_03,The protoganist kisses his colleague
Gi__cddQCNU_25,"In Berlin, Germany. "
X66nawgM_G0_09,The man's painting studio.
5qCZqW35Hxc_03,The game consist in imitating a plane
gNVqRC4mcSI_02,They have roots instead of legs. 
gNVqRC4mcSI_17,Inside a dark box. 
Gi__cddQCNU_16,They have a water fight in the street and then they have dinner. 
_ZrahHexT3M_08,"She has a classic, conservative style, with glasses, a blouse, and a suit jacket."
zQe0iH_dz1E_05,In a suburban area of a modern city.
GBrKM_e8ZoI_03,She re-does her makeup.
