question_id,video_id,video_url,question,answer,option_0,option_1,option_2,option_3,option_4,correct_answer,movie_title,movie_caption,movie_synopsis
SJUo1H1EkJI_03,SJUo1H1EkJI,https://www.youtube.com/watch?v=SJUo1H1EkJI,What health condition does Ronnie struggle with?,Ronnie has an asthma condition.,Ronnie is dealing with anxiety due to their living situation.,"Ronnie suffers from epilepsy, making their situation more precarious.",Ronnie has an asthma condition.,Ronnie has a severe peanut allergy that needs constant vigilance.,Ronnie is diabetic and requires regular insulin shots.,2,LIKE TURTLES,A mother is forced to raise her son in her car due to medical debt from losing her husband to cancer.,"After losing her husband to cancer and amassing a crippling amount of medical debt, Molly and her young son Ronnie are left to fend for themselves and have lost everything.
Molly struggles to get back on her feet as she tries to keep her son healthy on the streets even with an asthma condition and find a job after a decade as a stay-at-home mom. She also tries to instill a sense of security and stability for her son, shielding him from the difficulty of their life. But when Ronnie's asthma flares up, Molly must face the precariousness of her life, despite all of her attempts towards normality."
SJUo1H1EkJI_04,SJUo1H1EkJI,https://www.youtube.com/watch?v=SJUo1H1EkJI,What critical event underscores the precariousness of Molly and Ronnie's situation?,"Ronnie's asthma flares up, highlighting the dangerous instability of their life.","Molly's car breaks down, leaving them without shelter or transportation.","Ronnie's asthma flares up, highlighting the dangerous instability of their life.","Molly finds a job, but loses it soon after due to lack of reliable childcare for Ronnie.","They are robbed, losing the few possessions they had left.","Ronnie goes missing for a day, causing panic and despair.",1,LIKE TURTLES,A mother is forced to raise her son in her car due to medical debt from losing her husband to cancer.,"After losing her husband to cancer and amassing a crippling amount of medical debt, Molly and her young son Ronnie are left to fend for themselves and have lost everything.
Molly struggles to get back on her feet as she tries to keep her son healthy on the streets even with an asthma condition and find a job after a decade as a stay-at-home mom. She also tries to instill a sense of security and stability for her son, shielding him from the difficulty of their life. But when Ronnie's asthma flares up, Molly must face the precariousness of her life, despite all of her attempts towards normality."
smx86hHZk44_00,smx86hHZk44,https://www.youtube.com/watch?v=smx86hHZk44,Who is Liz meeting for the first time?,"Liz is meeting the parents of her new boyfriend, Pepijn, for the first time.",Liz is attending a family wedding as Pepijn's guest.,"Liz is meeting the parents of her new boyfriend, Pepijn, for the first time.",Liz is meeting Pepijn's colleagues at a company event.,Liz is meeting Pepijn's siblings for the first time.,Liz is meeting Pepijn's childhood friends during a reunion.,1,GAME NIGHT,"A young woman meets her boyfriend's parents during their regular game night. What begins as an innocent game, quickly changes into a nightmare.","Liz is meeting the parents of her new boyfriend Pepijn for the first time at their family night, where it becomes clear that his mother, Ingrid, dominates as matriarch.
Meeting in-laws is never easy to do, but for Liz it's complicated by the fact that Pepijn's family takes playing very, very seriously. And when Ingrid is determined to win at any cost, it makes for one very stressful night for Liz."
smx86hHZk44_01,smx86hHZk44,https://www.youtube.com/watch?v=smx86hHZk44,What event does Liz attend with Pepijn's family?,Liz attends a family game night.,Liz participates in a family reunion picnic.,Liz joins Pepijn's family for a holiday celebration.,Liz attends a family dinner.,Liz attends a family game night.,Liz and Pepijn's family go on a weekend retreat together.,3,GAME NIGHT,"A young woman meets her boyfriend's parents during their regular game night. What begins as an innocent game, quickly changes into a nightmare.","Liz is meeting the parents of her new boyfriend Pepijn for the first time at their family night, where it becomes clear that his mother, Ingrid, dominates as matriarch.
Meeting in-laws is never easy to do, but for Liz it's complicated by the fact that Pepijn's family takes playing very, very seriously. And when Ingrid is determined to win at any cost, it makes for one very stressful night for Liz."
smx86hHZk44_02,smx86hHZk44,https://www.youtube.com/watch?v=smx86hHZk44,Who dominates as the matriarch in Pepijn's family?,"Ingrid, Pepijn's mother, dominates as the matriarch.","Ingrid, Pepijn's mother, dominates as the matriarch.","Sophie, Pepijn's sister, takes charge of family affairs.","Elise, Pepijn's cousin, is surprisingly influential in family dynamics.","Anne, Pepijn's aunt, is known as the family's matriarch.","Helena, Pepijn's grandmother, is the ruling matriarch.",0,GAME NIGHT,"A young woman meets her boyfriend's parents during their regular game night. What begins as an innocent game, quickly changes into a nightmare.","Liz is meeting the parents of her new boyfriend Pepijn for the first time at their family night, where it becomes clear that his mother, Ingrid, dominates as matriarch.
Meeting in-laws is never easy to do, but for Liz it's complicated by the fact that Pepijn's family takes playing very, very seriously. And when Ingrid is determined to win at any cost, it makes for one very stressful night for Liz."
4HJ1A2hA86A_01,4HJ1A2hA86A,https://www.youtube.com/watch?v=4HJ1A2hA86A,What is the pact that the group of friends made in their childhood?,The pact was to destroy evidence of their friend Debra's most embarrassing secrets after her death.,The pact was to scatter Debra's ashes at their childhood hideout.,The pact was to destroy evidence of their friend Debra's most embarrassing secrets after her death.,The pact was to reveal each other's secrets after the first one of them died.,The pact was to come back and restore their childhood clubhouse.,The pact was to hold a vigil at their favorite hangout spot once one of them passed away.,1,IT'S WHAT SHE WOULD HAVE WANTED,A group of friends destroy a dead friend's embarrassing secrets.,"Maggie welcomes a group of childhood friends back home after the unexpected death of Debra, one of their own. The long-time friends have not just converged for the funeral, but also to fulfill a childhood pact to destroy evidence of their friend's most embarrassing secrets.
So the group sneaks into Deb's childhood home and combs through her bedroom, unearthing incriminating objects and messages. But as they search, long-buried resentments bubble up between them -- including a few shocking secrets that might change how some of them feel about their friend."
4HJ1A2hA86A_02,4HJ1A2hA86A,https://www.youtube.com/watch?v=4HJ1A2hA86A,Where do the friends search for Debra's embarrassing secrets?,"They search in Debra's childhood home, specifically combing through her bedroom.","They search in Debra's childhood home, specifically combing through her bedroom.",They search through Debra's high school locker left untouched.,They look through Debra's digital footprint online.,"They search in the basement of Debra’s childhood home, assuming that’s where she hid everything.",They search in a rented storage unit Debra owned.,0,IT'S WHAT SHE WOULD HAVE WANTED,A group of friends destroy a dead friend's embarrassing secrets.,"Maggie welcomes a group of childhood friends back home after the unexpected death of Debra, one of their own. The long-time friends have not just converged for the funeral, but also to fulfill a childhood pact to destroy evidence of their friend's most embarrassing secrets.
So the group sneaks into Deb's childhood home and combs through her bedroom, unearthing incriminating objects and messages. But as they search, long-buried resentments bubble up between them -- including a few shocking secrets that might change how some of them feel about their friend."
4HJ1A2hA86A_05,4HJ1A2hA86A,https://www.youtube.com/watch?v=4HJ1A2hA86A,Who is the dead friend the group of friends are trying to protect by destroying embarrassing secrets?,The dead friend is Debra.,The dead friend is Maggie.,The dead friend is Thomas.,The dead friend is Debra.,The dead friend is named Sarah.,The dead friend is named Rachel.,2,IT'S WHAT SHE WOULD HAVE WANTED,A group of friends destroy a dead friend's embarrassing secrets.,"Maggie welcomes a group of childhood friends back home after the unexpected death of Debra, one of their own. The long-time friends have not just converged for the funeral, but also to fulfill a childhood pact to destroy evidence of their friend's most embarrassing secrets.
So the group sneaks into Deb's childhood home and combs through her bedroom, unearthing incriminating objects and messages. But as they search, long-buried resentments bubble up between them -- including a few shocking secrets that might change how some of them feel about their friend."
IvfOdVYQ_NE_02,IvfOdVYQ_NE,https://www.youtube.com/watch?v=IvfOdVYQ_NE,Who is Beverly’s new partner?,Jeff,Jeff,Alan,Sam,Tom,Daniel,0,CHRISTMAS EVE EVE,"A woman goes home for the holidays, where she's forced to confront an unresolved family trauma.","Morgan is headed home to Kentucky for the holidays after a long while. Her parents are divorced, but she reconnects with both -- first with her mother Beverly and her new partner Jeff, who are packing up Morgan's old family home and moving to a new place.
On the way to one of her father Phil's family traditions -- a Christmas Eve Eve party -- she stops by his place. Phil lives alone, which worries his family because many of Phil's family have committed suicide around the holidays. Morgan finds her father embittered and angry, and they get into a fight -- one that forces them to confront her father's deep grief and sadness around the holidays."
IvfOdVYQ_NE_03,IvfOdVYQ_NE,https://www.youtube.com/watch?v=IvfOdVYQ_NE,"What significant family event does Morgan's father, Phil, host during the holidays?",A Christmas Eve Eve party,A New Year's Eve bash,A Christmas Day brunch,A Thanksgiving dinner,A Christmas Eve dinner,A Christmas Eve Eve party,4,CHRISTMAS EVE EVE,"A woman goes home for the holidays, where she's forced to confront an unresolved family trauma.","Morgan is headed home to Kentucky for the holidays after a long while. Her parents are divorced, but she reconnects with both -- first with her mother Beverly and her new partner Jeff, who are packing up Morgan's old family home and moving to a new place.
On the way to one of her father Phil's family traditions -- a Christmas Eve Eve party -- she stops by his place. Phil lives alone, which worries his family because many of Phil's family have committed suicide around the holidays. Morgan finds her father embittered and angry, and they get into a fight -- one that forces them to confront her father's deep grief and sadness around the holidays."
